"","GENE","FREQUENCY"
"715","THOC3",0.581
"716","PSMC4",0.572
"717","NME1",0.571
"718","DIRAS3",0.569
"719","UBE2D1",0.568
"720","TRA2A",0.562
"721","KDM3A",0.561
"722","LIMD2",0.559
"723","PIP5KL1",0.542
"724","POLH",0.541
"725","ANP32B",0.539
"726","DIP2A",0.539
"727","RAE1",0.539
"728","XRCC1",0.539
"729","KIAA0586",0.538
"730","HSBP1L1",0.537
"731","PLAUR",0.534
"732","KANSL2",0.532
"733","DMXL1",0.527
"734","HNMT",0.527
"735","SMAD1",0.527
"736","RNASEH2A",0.52
"737","S100A2",0.519
"738","HUS1",0.517
"739","ARHGAP11A",0.512
"740","PANK3",0.512
"741","ATG2A",0.506
"742","C22orf46",0.506
"743","CENPB",0.506
"744","CLN8",0.506
"745","NAT10",0.504
"746","GLRX",0.487
"747","FOLR3",0.481
"748","POLK",0.481
"749","FRMD4A",0.48
"750","ERV3-1",0.477
"751","HABP4",0.472
"752","ATP6AP2",0.471
"753","DHX32",0.47
"754","LMNA",0.47
"755","HES4",0.465
"756","LYPLAL1",0.462
"757","TNK2",0.456
"758","MXRA5",0.446
"759","CHMP5",0.437
"760","CIART",0.435
"761","HAT1",0.435
"762","BNIP3",0.434
"763","SSX2IP",0.434
"764","STEAP1",0.434
"765","TMEM200A",0.434
"766","ZNF667-AS1",0.434
"767","CCDC80",0.427
"768","ITPRIP",0.427
"769","TBC1D19",0.422
"770","C1S",0.415
"771","RP1-40E16.12",0.415
"772","CTCF",0.414
"773","SNX8",0.413
"774","DUS3L",0.412
"775","IFT43",0.412
"776","OCIAD2",0.412
"777","SCARF2",0.411
"778","ALYREF",0.403
"779","SERINC2",0.402
"780","CDK5RAP2",0.4
"781","MEDAG",0.392
"782","TRIM5",0.391
"783","B4GAT1",0.389
"784","PSMB3",0.389
"785","IL32",0.377
"786","SLC6A6",0.372
"787","TKT",0.371
"788","IGFBP4",0.368
"789","NAPRT",0.361
"790","CRYZ",0.356
"791","CYCS",0.345
"792","EPHX1",0.34
"793","NAA15",0.34
"794","TPD52L1",0.33
"795","MAGOH",0.322
"796","PPP1CB",0.317
"797","RAB7A",0.302
"798","ZNF592",0.291
"799","ENOSF1",0.288
"800","DKK3",0.287
"801","USP7",0.286
"802","HLA-DPB1",0.285
"803","MKNK2",0.285
"804","LINC01260",0.274
"805","SLC7A6OS",0.27
"806","PI4K2B",0.268
"807","RAET1G",0.265
"808","NUDT11",0.263
"809","ZRANB2",0.263
"810","BACH1",0.251
"811","C10orf10",0.251
"812","CDKN2A",0.25
"813","NDUFA5",0.242
"814","ACAP3",0.237
"815","EBP",0.228
"816","CYB561A3",0.222
"817","ARHGDIB",0.219
"818","DPM1",0.218
"819","TMEM186",0.214
"820","CRISPLD2",0.208
"821","SRSF3",0.206
"822","ZNF330",0.204
"823","NOV",0.202
"824","IGFBP6",0.201
"825","MCL1",0.201
"826","SEPP1",0.201
"827","FAM180A",0.199
"828","GTF2B",0.19
"829","RPL22L1",0.186
"830","DNAJA2",0.184
"831","GLE1",0.177
"832","KLHL24",0.177
"833","KIF1B",0.176
"834","MAT2B",0.176
"835","PSMD13",0.176
"836","YLPM1",0.176
"837","PRDX3",0.173
"838","LRPAP1",0.17
"839","MSC",0.169
"840","MYL6",0.169
"841","DSEL",0.167
"842","FLJ20021",0.166
