"","GENE","FREQUENCY"
"557","C4orf36",0.816
"558","ARID3B",0.815
"559","MORC4",0.814
"560","EMP1",0.813
"561","LGALS7",0.813
"562","KDM6B",0.812
"563","LINC01436",0.812
"564","SDCCAG8",0.812
"565","SP6",0.812
"566","KRT7",0.811
"567","UBC",0.811
"568","SLC38A5",0.809
"569","XDH",0.809
"570","JHDM1D-AS1",0.808
"571","KRT19",0.807
"572","SYNC",0.807
"573","RHOF",0.806
"574","RP4-555D20.2",0.804
"575","THBD",0.804
"576","PIM3",0.802
"577","VANGL2",0.802
"578","S100A11",0.801
"579","MARCKS",0.8
"580","AQP5",0.799
"581","GJB6",0.798
"582","SDPR",0.797
"583","SUSD3",0.793
"584","TINF2",0.792
"585","C1R",0.791
"586","EPCAM",0.791
"587","GPR157",0.79
"588","RP11-490M8.1",0.79
"589","CTA-384D8.35",0.788
"590","SVIL",0.788
"591","IGFBP7",0.787
"592","SCNN1D",0.786
"593","APLN",0.785
"594","UBB",0.785
"595","RHOBTB2",0.784
"596","TMEM47",0.784
"597","BAMBI",0.783
"598","PARD6B",0.783
"599","B3GNT5",0.78
"600","PSTPIP2",0.78
"601","MMP13",0.777
"602","OVOL1",0.777
"603","KCNJ15",0.776
"604","PDP1",0.776
"605","RP11-356I2.1",0.775
"606","SLC1A3",0.775
"607","HILPDA",0.773
"608","RP1-34B20.21",0.773
"609","SNN",0.773
"610","DHRS7",0.769
"611","CD63",0.767
"612","DLGAP1-AS1",0.764
"613","VNN3",0.764
"614","IFFO2",0.758
"615","TK1",0.758
"616","ETS2",0.755
"617","PPP1CB",0.754
"618","TPM4",0.747
"619","PKP1",0.743
"620","RAB32",0.743
"621","SPOCK2",0.742
"622","RNF144B",0.741
"623","RNF152",0.741
"624","RP11-841O20.2",0.739
"625","IQSEC1",0.738
"626","BNIP3L",0.737
"627","BTBD9",0.733
"628","HERC5",0.733
"629","PITX1",0.729
"630","ICAM2",0.727
"631","IFNGR2",0.727
"632","RP11-192H23.6",0.724
"633","CCDC112",0.722
"634","FAM129A",0.721
"635","CD83",0.72
"636","MAPK6",0.718
"637","ADGRG6",0.715
"638","DOC2B",0.714
"639","HSP90B1",0.714
"640","STC2",0.714
"641","AKT3",0.713
"642","IRX2",0.713
"643","KCNK6",0.713
"644","RDH10",0.713
"645","TUBB4B",0.712
"646","FAM26F",0.708
"647","LIFR",0.707
"648","REL",0.706
"649","MARS",0.705
"650","LETM1",0.704
"651","CREB5",0.702
"652","GPCPD1",0.702
"653","IFT81",0.699
"654","NSG1",0.699
"655","NOCT",0.698
"656","FMNL1",0.697
"657","NTN4",0.697
"658","PLEC",0.694
"659","ARHGAP29",0.693
"660","PCSK1N",0.691
"661","IGFL1",0.69
"662","SLC2A6",0.688
"663","PDLIM4",0.683
"664","ZNF354B",0.683
"665","ANKRD37",0.679
"666","ANTXR2",0.679
"667","CALM2",0.679
"668","PCSK5",0.679
"669","PID1",0.679
"670","TNFAIP8",0.679
"671","BEX4",0.677
"672","IKBIP",0.676
"673","PRC1",0.676
"674","KIAA0355",0.674
"675","THEM6",0.674
"676","MYADM",0.672
"677","SGK223",0.672
"678","CHCHD10",0.671
"679","SOWAHC",0.671
"680","PGM2L1",0.67
"681","BICC1",0.669
"682","COL7A1",0.668
"683","ATOH8",0.667
"684","LRIF1",0.667
"685","PTPN20",0.667
"686","PTGR1",0.666
"687","LAMB3",0.664
"688","SLC43A3",0.662
"689","S100A10",0.661
"690","TSC22D2",0.66
"691","CRB3",0.659
"692","MRGPRX3",0.655
"693","LMO3",0.653
"694","RP11-544A12.8",0.653
"695","PYGB",0.65
"696","KLHDC7B",0.646
"697","LMNA",0.646
"698","NUCB2",0.644
"699","PLLP",0.644
"700","ITGB4",0.643
"701","EEA1",0.642
"702","IZUMO4",0.642
"703","SMIM5",0.642
"704","SLC7A2",0.64
"705","TRPV3",0.639
"706","CLSPN",0.634
"707","SAR1A",0.634
"708","PODXL2",0.632
"709","MEST",0.629
"710","KRTAP2-3",0.628
"711","HLA-DOB",0.627
"712","HMGN3",0.627
"713","BCL11B",0.626
"714","ID1",0.625
"715","LINC01106",0.624
"716","MBOAT2",0.624
"717","MYH14",0.62
"718","MEX3A",0.617
"719","SMIM22",0.616
"720","SKIL",0.615
"721","SGPP2",0.614
"722","SLC25A29",0.614
"723","ACP5",0.612
"724","CTSL",0.611
"725","IAH1",0.61
"726","KCTD11",0.61
"727","RP11-1399P15.1",0.609
"728","BRCA1",0.608
"729","RASD1",0.603
"730","ZBTB18",0.603
"731","FADS3",0.601
"732","GCLM",0.6
"733","PTPRB",0.6
"734","KCNK5",0.599
"735","SLC2A13",0.599
"736","BRD1",0.598
"737","ZMAT3",0.598
"738","ZNF114",0.598
"739","MITF",0.596
"740","CYB5D2",0.595
"741","STEAP2",0.594
"742","EVA1B",0.593
