"","GENE","FREQUENCY"
"665","NUTF2",0.75
"666","PAN3",0.75
"667","PHF11",0.75
"668","POLR2E",0.75
"669","PPCS",0.75
"670","PRPF19",0.75
"671","RAB18",0.75
"672","SARS",0.75
"673","SBNO1",0.75
"674","SLTM",0.75
"675","SMAGP",0.75
"676","SNX9",0.75
"677","SP100",0.75
"678","SRSF8",0.75
"679","TMEM263",0.75
"680","TRAPPC3",0.75
"681","ZCCHC11",0.75
"682","ZNF121",0.75
"683","KIAA1143",0.748
"684","SRP72",0.748
"685","PANK2",0.744
"686","SSNA1",0.742
"687","LIMK2",0.741
"688","AC091429.1",0.737
"689","AL121871.1",0.737
"690","C9orf85",0.737
"691","GNL2",0.737
"692","KPNA2",0.737
"693","LACTB",0.737
"694","MAPKAPK5",0.737
"695","MTHFD1L",0.737
"696","NDUFS3",0.737
"697","NT5C3B",0.737
"698","PRCC",0.737
"699","TBCB",0.737
"700","MVD",0.732
"701","RAB34",0.73
"702","WWP1",0.724
"703","ATP6V1H",0.722
"704","SEC24D",0.721
"705","TRNT1",0.712
"706","WWTR1",0.711
"707","MCL1",0.709
"708","CHCHD4",0.708
"709","PWWP2A",0.707
"710","RAP2B",0.707
"711","SPIRE1",0.707
"712","CCNL1",0.705
"713","PI4KAP1",0.704
"714","RPS27AP19",0.703
"715","BACE2",0.7
"716","ENAH",0.7
"717","PAK1",0.699
"718","ARIH1",0.698
"719","CCDC91",0.698
"720","CCNG2",0.698
"721","CDC5L",0.698
"722","CMC1",0.698
"723","DLST",0.698
"724","DYM",0.698
"725","FA2H",0.698
"726","GRAMD1A",0.698
"727","LTN1",0.698
"728","PPP2R5A",0.698
"729","PRDX1P1",0.698
"730","ZNF644",0.698
"731","SLC25A28",0.695
"732","CYB5A",0.691
"733","PHF1",0.691
"734","IRX3",0.684
"735","MRPS7",0.68
"736","CITED4",0.678
"737","CRNDE",0.677
"738","CSNK1G2",0.677
"739","DNM1L",0.677
"740","ENSA",0.677
"741","GOLPH3L",0.677
"742","HMCES",0.677
"743","KHNYN",0.677
"744","LPAR6",0.677
"745","NAA38",0.677
"746","NAXE",0.677
"747","PATJ",0.677
"748","PCF11",0.677
"749","RCAN3",0.677
"750","TECR",0.677
"751","TIA1",0.677
"752","TNRC6A",0.677
"753","TTF2",0.677
"754","AKT1S1",0.676
"755","SOCS2",0.674
"756","MIEN1",0.672
"757","PDK4",0.672
"758","AK6",0.666
"759","RASSF3",0.664
"760","MYADM",0.659
"761","RARS2",0.659
"762","FBXL20",0.658
"763","SEMA5A",0.657
"764","TP53RK",0.656
"765","THUMPD1",0.655
"766","RBM23",0.652
"767","FAM84A",0.651
"768","ING2",0.651
"769","AC027290.2",0.65
"770","EGLN1",0.649
"771","TSPYL2",0.647
"772","DUSP16",0.646
"773","TNFAIP8",0.646
"774","NFIA",0.638
"775","SPRED2",0.638
"776","MAP3K13",0.636
"777","CLK1",0.635
"778","GRB7",0.632
"779","NOC3L",0.63
"780","AL391121.1",0.628
"781","FEM1C",0.625
"782","HIVEP1",0.624
"783","TPM1",0.623
"784","BASP1",0.62
"785","EFNB1",0.62
"786","MDM4",0.62
"787","REEP5",0.62
"788","BOLA3",0.612
"789","NDUFA6",0.612
"790","EHD4",0.61
"791","GTF2F2",0.61
"792","OAZ2",0.607
"793","PPP1R18",0.599
"794","AGPAT2",0.594
"795","HSPB8",0.593
"796","MTPAP",0.593
"797","NFIB",0.59
"798","ERN1",0.585
"799","WARS",0.585
"800","ARL1",0.584
"801","SOCS3",0.582
"802","STK25",0.568
"803","CPSF6",0.563
"804","ITGB8",0.56
"805","JUND",0.553
"806","ACAP2",0.552
"807","NUDT21",0.549
"808","RPL13AP20",0.548
"809","POC1B",0.538
"810","TSPAN13",0.532
