"","GENE","FREQUENCY"
"821","PLEKHN1",0.343
"822","RPS4XP6",0.343
"823","TMA16",0.343
"824","CHCHD3",0.342
"825","FNIP2",0.342
"826","GRB7",0.342
"827","NIP7",0.342
"828","SPRED2",0.342
"829","TMEM38B",0.342
"830","ERLIN1",0.341
"831","MARVELD3",0.341
"832","ZNF277",0.341
"833","CRISP3",0.34
"834","GTF3A",0.34
"835","POLR1E",0.339
"836","ZBTB38",0.339
"837","AC108449.2",0.338
"838","IFI6",0.338
"839","PABPC1P3",0.338
"840","SLC4A7",0.338
"841","STXBP6",0.338
"842","AL122020.1",0.337
"843","KAT8",0.337
"844","MRPS2",0.337
"845","MVB12A",0.337
"846","POLR1C",0.337
"847","TUBB",0.337
"848","PTPN1",0.336
"849","TMEM33",0.336
"850","COL4A5",0.335
"851","HMGN3",0.335
"852","LINC00342",0.335
"853","BEX3",0.333
"854","OSBP",0.333
"855","POLB",0.333
"856","YRDC",0.333
"857","AMIGO2",0.332
"858","BBC3",0.332
"859","ETV3",0.332
"860","GSAP",0.332
"861","NUTF2",0.332
"862","SBNO1",0.332
"863","YTHDC1",0.332
"864","AL645924.2",0.331
"865","DNAJA4",0.331
"866","GNAQ",0.331
"867","LTBP1",0.331
"868","MCFD2",0.331
"869","NAA25",0.331
"870","PDLIM2",0.331
"871","PSMF1",0.331
"872","RAB32",0.331
"873","HIKESHI",0.33
"874","TNFRSF10B",0.33
"875","CAMK2N1",0.329
"876","DNM2",0.329
"877","EXPH5",0.329
"878","JOSD2",0.329
"879","RNF11",0.329
"880","ZNF830",0.329
"881","LAP3",0.328
"882","NR3C1",0.328
"883","RPS7P11",0.328
"884","SLC20A2",0.328
"885","TMSB4X",0.328
"886","AL592295.1",0.327
"887","NOP56",0.327
"888","RAP2B",0.327
"889","SENP5",0.327
"890","WEE1",0.327
"891","GRAMD2B",0.326
"892","LSM12",0.326
"893","NRG1",0.326
"894","PAFAH1B2",0.326
"895","TCEAL3",0.326
"896","CCS",0.325
"897","SMIM12",0.325
"898","TRAPPC2L",0.325
"899","POLDIP2",0.324
"900","KMT5B",0.323
"901","MOAP1",0.323
"902","RBM10",0.323
"903","SFSWAP",0.323
"904","ATG13",0.322
"905","PUM3",0.322
"906","ATP5G2P4",0.321
"907","POR",0.321
"908","TIAL1",0.321
"909","GID4",0.32
"910","METTL14",0.32
"911","PLEKHA3",0.32
"912","RPL13AP6",0.32
"913","RPL5P24",0.32
"914","SLC35B3",0.32
"915","ASXL1",0.318
"916","EIF2S3",0.318
"917","PTPN12",0.318
"918","OARD1",0.317
"919","SAMD4A",0.317
"920","TMEM60",0.317
"921","TPMT",0.317
"922","AMFR",0.316
"923","COA4",0.316
"924","CTBP1",0.316
"925","FTSJ1",0.316
"926","HTATSF1",0.316
"927","SPECC1",0.316
"928","SSB",0.316
"929","TMEM9B",0.316
"930","TRNT1",0.316
"931","ZBTB44",0.316
"932","CISD3",0.314
"933","HNMT",0.314
"934","MBP",0.314
"935","NUS1",0.314
"936","PHC3",0.314
