"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002285","BP","GO:0002285","lymphocyte activation involved in immune response","50/1578","158/17913",3.06986466639096e-16,5.70202604809005e-14,4.31865851030823e-14,"942/1880/3109/3662/9452/3956/57379/10538/84807/7494/301/30009/100/3566/6095/1235/958/941/3146/3383/3586/3958/5788/84868/4063/5971/114836/975/8809/2956/7292/80149/2625/3683/4683/165918/23075/7037/7248/2213/64332/10039/2185/5914/634/55619/3134/10859/2475/5873",50
"GO:0060333","BP","GO:0060333","interferon-gamma-mediated signaling pathway","36/1578","91/17913",1.66901772727121e-15,3.00318877300863e-13,2.27458567239626e-13,"3117/3119/3659/3662/3394/4502/8651/3123/3459/83666/3115/2634/960/2633/3055/3383/10437/8638/3105/5724/9021/3122/3716/3113/818/3460/4938/4261/3133/3134/3665/10379/84166/4940/6772/7706",36
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","48/1578","153/17913",1.76694272675836e-15,3.08304733959838e-13,2.3350697661754e-13,"6348/3117/3119/3659/3662/3394/4502/8651/7431/6352/3123/3459/83666/834/3115/2634/960/965/51466/2633/3055/3383/10437/8638/3105/5724/9021/115361/3122/3716/199/1906/2934/3113/140885/818/3460/4938/71/4261/3133/3134/3665/10379/84166/4940/6772/7706",48
"GO:0042129","BP","GO:0042129","regulation of T cell proliferation","47/1578","149/17913",2.74776405070511e-15,4.65341923645883e-13,3.52445401302516e-13,"10148/3109/3659/6352/10673/301/1051/3115/3479/100133941/970/160365/3146/3586/3958/5788/115650/7133/10385/1604/84868/3559/8379/29126/916/975/3280/80380/7292/199/652/1499/3113/3572/4690/4860/7037/1178/29108/7189/283234/3133/23308/10859/57162/11035/6654",47
"GO:0032946","BP","GO:0032946","positive regulation of mononuclear cell proliferation","42/1578","126/17913",9.50011171504197e-15,1.56290409300605e-12,1.18372820557651e-12,"1026/10148/1880/3109/6352/10673/301/3115/100/3479/100133941/958/970/160365/3146/5788/115650/952/1604/84868/3559/29126/916/975/1435/3280/7293/7292/199/3113/3572/4690/4860/7037/4773/29108/7189/283234/972/3133/23308/57162",42
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway","67/1578","277/17913",1.19445606824313e-14,1.91046612248443e-12,1.44696827214365e-12,"664/1026/1396/1649/54541/9709/3162/3315/5366/90427/2023/2537/7494/857/1051/6498/57761/27113/1032/10550/598/100133941/960/1545/3932/7124/7133/10018/637/3090/5164/79094/23604/57600/2956/23612/81537/468/90993/4193/10962/4683/4690/5329/6794/25946/835/23645/29108/6477/57646/207/972/1540/3301/9451/204851/10525/3428/3622/4217/5163/5883/11035/50484/54700/259230",67
"GO:0001819","BP","GO:0001819","positive regulation of cytokine production","91/1578","446/17913",1.68814961154306e-14,2.62712580088242e-12,1.98975927186996e-12,"101/330/6348/942/1649/10148/3162/3315/3659/3662/3394/4050/4791/28984/55959/9447/1236/3148/7494/301/834/1051/2268/3115/4345/9308/3566/6095/958/965/941/1545/3146/3586/4049/5788/7124/115650/84868/3495/4063/5142/5724/114836/340061/81030/29126/916/975/55601/8809/5437/861/10417/201633/7292/199/351/468/1499/9188/2207/2625/3113/55540/3572/57506/255231/26191/192683/7096/1536/23586/1958/29108/5914/8482/7189/26137/283234/972/9451/83786/3133/3134/3428/3665/10859/57162/9698/6772",91
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","48/1578","163/17913",2.71513563104651e-14,4.11414499041206e-12,3.11601299707083e-12,"3162/3398/3659/4332/64092/8651/84807/301/1051/30009/7128/4345/3566/472/3146/3586/3958/5788/10385/11314/84868/3559/54900/8379/29126/1269/80380/861/201633/7292/80149/652/2896/3902/7940/26191/2213/3149/10039/864/972/8832/634/2852/3134/3635/10859/57162",48
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway","58/1578","224/17913",3.12576813015362e-14,4.61491612651911e-12,3.4952921358236e-12,"257144/3117/3119/4332/931/28755/1236/933/973/3123/84807/26228/3115/100/640/10666/2633/9402/3932/3958/5788/10385/11314/952/2534/54900/5142/916/975/3122/3783/27040/861/80149/11119/2625/3113/89857/4690/55824/26191/23180/6794/7006/2213/4773/64332/7189/9564/634/1399/1540/7430/3635/11006/5293/59338/121665",58
"GO:0050671","BP","GO:0050671","positive regulation of lymphocyte proliferation","41/1578","125/17913",3.68482708858885e-14,5.30430859402365e-12,4.01743121790095e-12,"1026/10148/1880/3109/6352/10673/301/3115/100/3479/100133941/958/970/160365/3146/5788/115650/952/1604/84868/3559/29126/916/975/3280/7293/7292/199/3113/3572/4690/4860/7037/4773/29108/7189/283234/972/3133/23308/57162",41
