genes	u	cv2	residualcv2	fitratio	pval	fdr
MAFB	0.0656282322569531	24.9419993608921	0.279055555076585	1.32188077901759	2.77509408474964e-11	9.56622055252375e-10
TRIB3	0.363743647489169	4.99457486699819	0.278923173452914	1.32170579787616	2.83625618476272e-11	9.74640761673007e-10
HLA-DPA1	0.0695009966593235	23.5510736150484	0.277580793569197	1.31993275691441	3.53566930969527e-11	1.21118771790249e-09
HIST1H2BD	0.858356337186296	2.45566381739455	0.27529701715022	1.31692176513423	5.1305568964352e-11	1.75206120556768e-09
PRKCDBP	0.330595210525665	5.41177001673435	0.274674264536703	1.31610190397503	5.67546648150704e-11	1.93212619783479e-09
STC2	0.629737192064642	3.12047484643995	0.272670050693049	1.31346679586158	7.84051959673613e-11	2.66092185199447e-09
BDNF	0.326558320269064	5.45767335795772	0.272192478540754	1.31283967045765	8.46487272058238e-11	2.86394860379704e-09
WNT5B	0.033403154322875	48.0438505716545	0.271224591979253	1.31156960532184	9.88243084279384e-11	3.33326790457557e-09
ANKRD37	0.380365643110148	4.76147876270102	0.27030181856709	1.31035988199795	1.14479875544358e-10	3.84947360649465e-09
LGALS7B	0.170419509816274	9.88597888158153	0.269933893990917	1.30987785707358	1.21374372495675e-10	4.06882529448803e-09
ITGB8	0.502394438938997	3.74852939435699	0.269805188677536	1.30970927968213	1.23880403706885e-10	4.14017373608193e-09
RARRES1	0.400649124368942	4.54697726826221	0.269475171598157	1.30927712456402	1.30538830921576e-10	4.34944274942953e-09
PRR15	0.363436161719865	4.94607258793582	0.268421260890531	1.30789799025306	1.54222385137919e-10	5.12298722994506e-09
HIST1H4H	0.082653492726611	19.6872730015066	0.266862596726367	1.30586100442607	1.97090886515847e-10	6.52722144406862e-09
AF127936.7	0.464303870114462	3.99326683118476	0.26638449601651	1.30523682057614	2.12424452339275e-10	7.01384592332269e-09
TRBC2	0.116216219800589	14.1374275924431	0.264277741551008	1.30248990163372	2.9500341910413e-10	9.7111936342927e-09
HLA-G	0.983842649610537	2.19336839930513	0.263583835028908	1.30158640890201	3.28498518573034e-10	1.07814394029868e-08
FLRT3	0.161828892729103	10.2854947865173	0.26088441599876	1.29807761975721	4.97693102549538e-10	1.62857068362628e-08
GBP5	0.731093053001974	2.7335327436499	0.25902811183211	1.29567022798	6.60492965378846e-10	2.15485829954849e-08
ICAM2	0.118063489325757	13.8392579942524	0.258062463204114	1.29441966969914	7.64589861977279e-10	2.48707242344063e-08
CST6	7.52895291350011	0.797232182046719	0.255505318949948	1.29111388036976	1.12332189447092e-09	3.64315225064799e-08
DUOX2	1.62487821991603	1.54823031719028	0.254271472150264	1.289521826018	1.35044728135729e-09	4.36684457175179e-08
APLN	0.105928102775752	15.2906478933197	0.253735693057459	1.28883111223543	1.46242938256639e-09	4.71504437990965e-08
TGFBI	4.53309018603999	0.9311668683915	0.252279996944617	1.28695633068241	1.81416925120928e-09	5.83194232602818e-08
IDO1	2.36391077163989	1.24393604584792	0.250659827934115	1.28487293210221	2.30237052427596e-09	7.37970341728453e-08
SEMA3B	0.252938652669134	6.72066239087334	0.249989543699412	1.28401199060222	2.53970818197788e-09	8.11670002648439e-08
CRABP2	1.38501814429331	1.7060456930966	0.249444455046301	1.2833122809549	2.75006941403464e-09	8.76344794088598e-08
FHL1	0.135607824393621	12.0095334370061	0.248466896280902	1.28205838076632	3.1704453438961e-09	1.00737454666055e-07
NDRG1	1.05059757690161	2.06007071901274	0.248301166338232	1.28184592291018	3.24763894476458e-09	1.02891959862744e-07
SLC7A2	0.116518056789234	13.8561942236615	0.246668883233788	1.27975529418087	4.1121247015485e-09	1.29905218957852e-07
ZNF667-AS1	0.862763795772896	2.37657558391657	0.246424548919082	1.27944264424518	4.25938439867972e-09	1.34170608558411e-07
RP11-384O8.1	0.161237212473207	10.1686204527945	0.246004319206155	1.27890509738458	4.52470112588379e-09	1.42119695535639e-07
HIP1R	0.250703054665232	6.74803129501615	0.245947817048409	1.27883283852843	4.56157440347618e-09	1.42868510316874e-07
FGF2	2.01830151015326	1.34874206263109	0.244998638374057	1.27761957356375	5.22636108434994e-09	1.63223276942006e-07
KIT	0.0301836407606026	51.6761667983345	0.243960027277885	1.27629331255188	6.06137583670229e-09	1.88763641823666e-07
C1QTNF1-AS1	0.109980353606357	14.6012928171858	0.243673087940071	1.27592714633018	6.31398926359512e-09	1.96073513619064e-07
KISS1	0.050087643879033	31.2996312137364	0.241628753038886	1.27332138836207	8.43329970728624e-09	2.61146416359525e-07
RP11-95M15.1	0.438257818636081	4.08729930597431	0.240341945422411	1.27168392247904	1.01050056148016e-08	3.12031187463253e-07
FAM110C	0.875345373202325	2.33472850844246	0.239555833180031	1.27068462900902	1.12796704584099e-08	3.47325133609801e-07
CAPN12	0.244350097668066	6.86329550160098	0.239414585483408	1.2705051604071	1.15042999743831e-08	3.53249681566352e-07
AKR1B10	0.133242939659317	12.0992561132836	0.239168209853645	1.27019217745535	1.19065237731236e-08	3.64579088270898e-07
PCDH17	0.130240085682695	12.3632359280399	0.239038726070588	1.2700277188146	1.21233381091361e-08	3.70183934129109e-07
LXN	0.208754431265098	7.92818153149014	0.238607124662781	1.26947969133643	1.28739868181004e-08	3.92012898611156e-07
TREM1	0.147033617187336	10.9975212418802	0.237228188000484	1.26773036562987	1.5586038424162e-08	4.73280202785774e-07
CYP3A5	0.0428281812603354	36.3404283045887	0.23707338850858	1.26753413680185	1.5922966009742e-08	4.82175561875117e-07
SOX4	1.44592121193099	1.63844579084427	0.237045107183307	1.26749828976354	1.5985278201089e-08	4.82728979725448e-07
PAG1	0.130056506677802	12.339356705239	0.235761023164695	1.26587175998997	1.9076979331748e-08	5.74510569875333e-07
PRDM1	0.821943802606226	2.43834492454344	0.235322793148541	1.26531713852291	2.02588568607317e-08	6.0843175043107e-07
EXOC3L4	0.04500278394315	34.4842680878211	0.233364790502227	1.26284206810521	2.64621197649654e-08	7.92562177222817e-07
DKK3	0.604114280326079	3.09919571883007	0.232145656262256	1.26130343219274	3.12132587786817e-08	9.32315375291305e-07
RP11-456O19.2	0.0356716314341896	43.2990098289497	0.232098734205751	1.26124425063029	3.141169172786e-08	9.35692838915221e-07
RP11-402P6.11	0.140746552811634	11.3977417636331	0.231528104133943	1.26052475203628	3.39245900044638e-08	1.00780855183992e-06
S1PR3	0.28543621394648	5.91187692644945	0.231482747618309	1.26046758032222	3.41324551662286e-08	1.01124317170864e-06
PLPP3	0.308893739236596	5.506427231037	0.231438773890074	1.26041215408205	3.43351576191432e-08	1.01450673267129e-06
LINC00936	0.0650436781655212	23.9323881827823	0.229003936953982	1.25734698911733	4.75685974561709e-08	1.40173915407136e-06
PTPRR	0.0604924875136448	25.6821374253429	0.228708465307453	1.25697553361219	4.94759450725965e-08	1.45403568333995e-06
DNAJB4	0.298351334166299	5.64489198498246	0.225124730675717	1.25247892899253	7.93658205917284e-08	2.32622493402815e-06
HSPA1A	0.780794426254436	2.50875992428951	0.224374911628248	1.25154014843678	8.75275588120827e-08	2.5586055991948e-06
ALOX15B	0.174924022131795	9.20332557707054	0.222870754249221	1.24965905017593	1.06408280960401e-07	3.10225419119128e-06
TGFB2	0.341724202712064	4.96385099812639	0.217654953628281	1.24315804643382	2.07259052072265e-07	6.02645551410125e-06
NRG1	0.221369163247959	7.34822637095482	0.216903502676789	1.2422242250414	2.27844548039668e-07	6.60749189315037e-06
CEACAM6	0.106941158305249	14.5924990557879	0.216151794503729	1.24129078581957	2.5039738611736e-07	7.23742102840747e-06
PHKG1	0.423745047509366	4.10676105159048	0.216136217747694	1.24127145068642	2.50886698667656e-07	7.23742102840747e-06
ACKR3	1.33501173706557	1.68781353071148	0.214415894533304	1.23913789832046	3.10974300448688e-07	8.94724483338195e-06
TNC	0.464866521074858	3.77968148233121	0.212444677109324	1.23669769398139	3.96844295336747e-07	1.1387976872988e-05
IRS2	0.360933060211591	4.70230232034261	0.211801133963317	1.23590208168963	4.29509218945663e-07	1.22931594205806e-05
